index,n
0,0
1,0
2,10
3,1
4,2
5,0
6,1
7,10
8,9
9,2
10,0
11,6
12,10
13,5
14,5
15,9
16,9
17,3
18,0
19,2
20,4
21,5
22,7
23,8
24,8
25,1
26,4
27,7
28,2
29,4
30,9
31,8
32,9
33,3
34,3
35,10
36,10
37,6
38,9
39,8
40,1
41,7
42,6
43,10
44,0
45,7
46,9
47,8
48,4
49,3
50,2
51,2
52,7
53,10
54,9
55,2
56,5
57,10
58,3
59,2
60,1
61,2
62,3
63,1
64,5
65,7
66,0
67,3
68,6
69,10
70,0
71,0
72,5
73,2
74,3
75,8
76,9
77,3
78,0
79,4
80,1
81,1
82,3
83,3
84,7
85,10
86,3
87,7
88,2
89,2
90,6
91,2
92,9
93,4
94,1
95,7
96,0
97,5
98,2
99,3
100,2
101,1
102,9
103,7
104,3
105,10
106,5
107,3
108,9
109,8
110,3
111,3
112,3
113,0
114,3
115,0
116,5
117,5
118,0
119,10
120,3
121,7
122,10
123,3
124,3
125,10
126,7
127,1
128,7
129,10
130,0
131,3
132,3
133,3
134,1
135,8
136,4
137,4
138,7
139,1
140,7
141,10
142,8
143,0
144,7
145,1
146,2
147,2
148,8
149,3
150,0
151,9
152,9
153,9
154,2
155,4
156,7
157,5
158,10
159,2
160,7
161,5
162,9
163,6
164,1
165,6
166,7
167,9
168,7
169,10
170,8
171,5
172,10
173,6
174,3
175,5
176,4
177,0
178,10
179,8
180,6
181,3
182,6
183,6
184,4
185,6
186,8
187,1
188,9
189,6
190,6
191,3
192,4
193,0
194,10
195,5
196,1
197,0
198,8
199,9
200,3
201,9
202,4
203,6
204,5
205,9
206,3
207,0
208,4
209,8
210,1
211,5
212,10
213,3
214,10
215,4
216,8
217,10
218,3
219,2
220,10
221,10
222,7
223,10
224,9
225,10
226,5
227,1
228,3
229,5
230,3
231,7
232,2
233,0
234,1
235,5
236,7
237,4
238,1
239,9
240,2
241,2
242,1
243,6
244,5
245,8
246,9
247,1
248,7
249,7
250,0
251,5
252,2
253,9
254,5
255,5
256,10
257,7
258,9
259,5
260,5
261,10
262,9
263,7
264,1
265,9
266,0
267,2
268,5
269,8
270,2
271,7
272,10
273,10
274,9
275,0
276,6
277,4
278,9
279,6
280,1
281,10
282,1
283,1
284,10
285,1
286,6
287,1
288,5
289,9
290,5
291,7
292,0
293,10
294,10
295,4
296,7
297,3
298,8
299,7
300,7
301,0
302,6
303,7
304,7
305,8
306,1
307,0
308,4
309,8
310,3
311,0
312,4
313,0
314,7
315,8
316,8
317,10
318,5
319,6
320,10
321,7
322,6
323,5
324,3
325,6
326,6
327,6
328,4
329,7
330,7
331,2
332,8
333,5
334,1
335,0
336,2
337,10
338,1
339,2
340,3
341,3
342,9
343,1
344,0
345,2
346,5
347,10
348,3
349,7
350,0
351,7
352,9
353,7
354,5
355,0
356,9
357,3
358,6
359,6
360,7
361,3
362,0
363,4
364,5
365,1
366,8
367,1
368,5
369,6
370,1
371,8
372,0
373,3
374,1
375,3
376,5
377,7
378,1
379,8
380,8
381,6
382,0
383,8
384,7
385,1
386,0
387,3
388,2
389,1
390,2
391,8
392,6
393,6
394,9
395,2
396,10
397,8
398,0
399,10
400,7
401,7
402,6
403,3
404,5
405,3
406,4
407,9
408,5
409,2
410,7
411,8
412,10
413,10
414,10
415,9
416,3
417,10
418,9
419,7
420,3
421,0
422,6
423,7
424,5
425,10
426,1
427,2
428,6
429,5
430,7
431,5
432,4
433,0
434,2
435,7
436,4
437,7
438,8
439,0
440,2
441,3
442,10
443,9
444,4
445,8
446,0
447,10
448,8
449,7
450,2
451,10
452,6
453,10
454,8
455,3
456,9
457,5
458,7
459,2
460,5
461,0
462,1
463,10
464,2
465,6
466,1
467,3
468,4
469,3
470,8
471,1
472,8
473,7
474,5
475,6
476,5
477,4
478,0
479,2
480,5
481,10
482,2
483,0
484,1
485,3
486,10
487,9
488,8
489,8
490,10
491,10
492,5
493,4
494,2
495,10
496,10
497,2
498,10
499,4
