index,n
0,8
1,2
2,7
3,1
4,9
5,3
6,3
7,3
8,0
9,9
10,6
11,0
12,10
13,7
14,0
15,5
16,1
17,1
18,6
19,3
20,7
21,9
22,10
23,10
24,4
25,7
26,7
27,1
28,4
29,8
30,4
31,0
32,1
33,6
34,4
35,4
36,10
37,3
38,0
39,10
40,8
41,3
42,0
43,4
44,8
45,9
46,4
47,4
48,0
49,2
50,9
51,1
52,7
53,2
54,8
55,4
56,8
57,1
58,0
59,4
60,3
61,9
62,6
63,5
64,5
65,2
66,5
67,4
68,0
69,9
70,2
71,7
72,3
73,3
74,3
75,3
76,1
77,6
78,6
79,6
80,1
81,2
82,8
83,3
84,2
85,3
86,10
87,8
88,5
89,3
90,0
91,5
92,5
93,3
94,8
95,10
96,3
97,2
98,10
99,0
100,7
101,9
102,0
103,6
104,10
105,3
106,5
107,6
108,10
109,0
110,0
111,4
112,4
113,1
114,2
115,1
116,10
117,10
118,8
119,2
120,5
121,10
122,2
123,0
124,1
125,9
126,3
127,7
128,0
129,2
130,0
131,7
132,3
133,3
134,3
135,10
136,6
137,5
138,5
139,9
140,7
141,2
142,7
143,5
144,3
145,0
146,8
147,2
148,0
149,7
150,3
151,9
152,8
153,7
154,8
155,8
156,4
157,4
158,9
159,10
160,6
161,6
162,10
163,1
164,4
165,8
166,1
167,1
168,3
169,1
170,8
171,0
172,1
173,2
174,1
175,3
176,2
177,1
178,4
179,2
180,7
181,1
182,1
183,4
184,6
185,0
186,5
187,9
188,4
189,8
190,8
191,5
192,7
193,5
194,3
195,6
196,5
197,10
198,3
199,6
200,5
201,3
202,0
203,10
204,3
205,4
206,5
207,6
208,3
209,10
210,2
211,0
212,0
213,7
214,6
215,7
216,7
217,3
218,10
219,8
220,8
221,7
222,0
223,10
224,3
225,6
226,8
227,2
228,9
229,5
230,9
231,5
232,0
233,10
234,9
235,6
236,3
237,5
238,0
239,8
240,0
241,8
242,9
243,5
244,9
245,7
246,3
247,0
248,9
249,8
250,4
251,2
252,2
253,0
254,9
255,3
256,0
257,9
258,5
259,7
260,1
261,8
262,1
263,7
264,3
265,8
266,4
267,10
268,10
269,8
270,9
271,0
272,9
273,9
274,0
275,2
276,10
277,9
278,8
279,5
280,8
281,0
282,7
283,7
284,3
285,1
286,2
287,3
288,1
289,8
290,4
291,4
292,1
293,9
294,9
295,7
296,1
297,10
298,3
299,4
300,6
301,8
302,3
303,1
304,6
305,6
306,3
307,10
308,2
309,2
310,4
311,0
312,10
313,0
314,10
315,3
316,3
317,8
318,9
319,3
320,1
321,2
322,2
323,2
324,4
325,1
326,8
327,3
328,3
329,1
330,1
331,8
332,9
333,0
334,7
335,10
336,10
337,3
338,7
339,7
340,9
341,9
342,3
343,5
344,5
345,9
346,8
347,3
348,8
349,0
350,3
351,5
352,6
353,2
354,2
355,3
356,1
357,8
358,2
359,0
360,5
361,4
362,2
363,6
364,9
365,3
366,3
367,0
368,8
369,1
370,6
371,0
372,9
373,8
374,2
375,9
376,10
377,6
378,7
379,1
380,5
381,6
382,10
383,0
384,0
385,8
386,8
387,7
388,9
389,4
390,10
391,0
392,10
393,0
394,8
395,2
396,1
397,9
398,8
399,5
400,3
401,1
402,1
403,4
404,9
405,3
406,0
407,8
408,4
409,9
410,9
411,0
412,10
413,7
414,1
415,3
416,6
417,7
418,2
419,7
420,4
421,8
422,4
423,5
424,1
425,9
426,6
427,9
428,0
429,1
430,9
431,8
432,8
433,5
434,0
435,3
436,6
437,0
438,5
439,0
440,6
441,7
442,2
443,10
444,3
445,3
446,9
447,3
448,8
449,8
450,9
451,10
452,9
453,7
454,10
455,0
456,7
457,5
458,10
459,9
460,2
461,0
462,10
463,5
464,6
465,4
466,9
467,2
468,8
469,3
470,9
471,8
472,10
473,0
474,3
475,6
476,8
477,7
478,9
479,0
480,10
481,5
482,10
483,3
484,3
485,1
486,0
487,0
488,3
489,2
490,3
491,3
492,10
493,7
494,8
495,5
496,3
497,4
498,3
499,1
